date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:11	119/119	---MC-	200	added ('OK')	text/plain	date:Sun,%2003%20Mar%202024%2015:12:11%20GMT	https://www.cvannantes.org/robots.txt		(from )
16:12:12	56467/56467	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2015:12:11%20GMT	https://www.cvannantes.org/	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/index.html	(from )
16:12:13	593/593	---M--	200	added ('OK')	image/png	etag:%22251-53e3810f1e02b%22	https://www.cvannantes.org/wp-content/uploads/2016/10/theme_favicon.png	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/uploads/2016/10/theme_favicon.png	(from https://www.cvannantes.org/)
16:12:13	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5cc7db6e33761%22	https://www.cvannantes.org/wp-includes/css/dist/block-library/style.min.css?ver=5.8.9	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-includes/css/dist/block-library/style.min29ad.css	(from https://www.cvannantes.org/)
16:12:13	59946/59946	---M--	200	added ('OK')	text/css	etag:%22ea2a-5ba5943892a60%22	https://www.cvannantes.org/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.21	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/revslider/public/assets/css/rs6dbb0.css	(from https://www.cvannantes.org/)
16:12:13	1728/1728	---M--	200	added ('OK')	text/css	etag:%226c0-6118cca3bf2e8%22	https://www.cvannantes.org/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.29.5	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/siteorigin-panels/css/front-flex.min7941.css	(from https://www.cvannantes.org/)
16:12:14	8851/8851	---M--	200	added ('OK')	text/css	etag:%222293-5d34ad91c4a0a%22	https://www.cvannantes.org/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles.css?ver=2.1.2	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles431f.css	(from https://www.cvannantes.org/)
16:12:14	62012/62012	---M--	200	added ('OK')	text/css	etag:%22f23c-5cc7e33db419d%22	https://www.cvannantes.org/wp-content/plugins/kadence-slider/css/ksp.css?ver=2.3.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/kadence-slider/css/ksp531b.css	(from https://www.cvannantes.org/)
16:12:14	45949/45949	---MC-	200	added ('OK')	application/rss+xml	etag:%22614338926bb01512108f03c7a194519f%22	https://www.cvannantes.org/feed/	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/feed/index.html	(from https://www.cvannantes.org/)
16:12:14	7598/7598	---M--	200	added ('OK')	text/css	etag:%221dae-53e35922359ad%22	https://www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/dark/style.css?ver=2.10.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/dark/stylee776.css	(from https://www.cvannantes.org/)
16:12:14	4833/4833	---M--	200	added ('OK')	text/css	etag:%2212e1-53e359224152e%22	https://www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/default/style.css?ver=2.10.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/default/stylee776.css	(from https://www.cvannantes.org/)
16:12:14	680/680	---MC-	200	added ('OK')	application/rss+xml	etag:%22100e4088a940442976994dd817750d9a%22	https://www.cvannantes.org/comments/feed/	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/comments/feed/index.html	(from https://www.cvannantes.org/)
16:12:15	6304/6304	---M--	200	added ('OK')	text/css	etag:%2218a0-53e359224d0af%22	https://www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/galleria/style.css?ver=2.10.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/galleria/stylee776.css	(from https://www.cvannantes.org/)
16:12:15	7339/7339	---M--	200	added ('OK')	text/css	etag:%221cab-53e3592251ed0%22	https://www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/standard/style.css?ver=2.10.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/standard/stylee776.css	(from https://www.cvannantes.org/)
16:12:15	5518/5518	---M--	200	added ('OK')	text/css	etag:%22158e-53e3592255d50%22	https://www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/text/style.css?ver=2.10.4	C:/My%20Web%20Sites/https___www.cvannantes.org_11/www.cvannantes.org/wp-content/plugins/cyclone-slider-pro/templates/text/stylee776.css	(from https://www.cvannantes.org/)
